"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,25.0870923851939
"AL","Coal",2012,5.82954251756453
"AL","Coal",2014,14.9662857981999
"AL","Coal",2016,6.9054163347033
"AL","Coal",2018,6.08880895121126
"AL","Coal",2020,41.7146456023012
"AL","Coal",2022,43.2340563850938
"AL","Coal",2024,43.5476887276431
"AL","Coal",2026,43.555961317676
"AL","Coal",2028,43.557029510524
"AL","Coal",2030,41.9365477889127
"AL","Coal",2032,40.0611534341254
"AL","Coal",2034,38.4832955999326
"AL","Coal",2036,38.3506475206268
"AL","Coal",2038,37.6944726164988
"AL","Coal",2040,36.7972620472383
"AL","Coal",2042,35.8883169226272
"AL","Coal",2044,36.0519237377688
"AL","Coal",2046,31.4902299514577
"AL","Coal",2048,27.3544913570069
"AL","Coal",2050,21.4033980310146
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,67.1672354494741
"AL","NG-CC",2012,72.7368067331033
"AL","NG-CC",2014,61.8557090303679
"AL","NG-CC",2016,71.3074627772012
"AL","NG-CC",2018,66.6009078339681
"AL","NG-CC",2020,36.9477085902262
"AL","NG-CC",2022,15.1944817769751
"AL","NG-CC",2024,11.7868765040531
"AL","NG-CC",2026,9.65191925442566
"AL","NG-CC",2028,10.2071085920369
"AL","NG-CC",2030,11.3705097401999
"AL","NG-CC",2032,12.8658742889872
"AL","NG-CC",2034,11.8924953747298
"AL","NG-CC",2036,11.0795653611209
"AL","NG-CC",2038,9.58747899385009
"AL","NG-CC",2040,10.9486719747524
"AL","NG-CC",2042,16.9443872419373
"AL","NG-CC",2044,22.8340263989207
"AL","NG-CC",2046,29.8004999878869
"AL","NG-CC",2048,34.964019382767
"AL","NG-CC",2050,35.3344995898593
"AL","NG-CT",2010,0.09860632
"AL","NG-CT",2012,0.09860632
"AL","NG-CT",2014,0.054126
"AL","NG-CT",2016,0.09860632
"AL","NG-CT",2018,0.09860632
"AL","NG-CT",2020,0.054126
"AL","NG-CT",2022,0.054126
"AL","NG-CT",2024,0
"AL","NG-CT",2026,0
"AL","NG-CT",2028,0
"AL","NG-CT",2030,0
"AL","NG-CT",2032,0
"AL","NG-CT",2034,0
"AL","NG-CT",2036,0
"AL","NG-CT",2038,0
"AL","NG-CT",2040,0
"AL","NG-CT",2042,0
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.54457901120018
"AL","Hydro",2022,8.54457901120018
"AL","Hydro",2024,8.54457901120018
"AL","Hydro",2026,8.54457901120018
"AL","Hydro",2028,8.54457901120018
"AL","Hydro",2030,8.54457901120018
"AL","Hydro",2032,8.54457901120018
"AL","Hydro",2034,8.54457901120018
"AL","Hydro",2036,8.54457901120018
"AL","Hydro",2038,8.57181174219603
"AL","Hydro",2040,8.61371754447165
"AL","Hydro",2042,8.68877795644098
"AL","Hydro",2044,8.68877795644098
"AL","Hydro",2046,8.68877795644097
"AL","Hydro",2048,8.68877795644097
"AL","Hydro",2050,8.68877795644097
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.88381955886035
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.4556470871159
"AL","Biopower",2018,1.737749841696
"AL","Biopower",2020,2.194426862496
"AL","Biopower",2022,2.194426862496
