"gid","tech","time","value"
"AL","Nuclear",2010,5.0664
"AL","Nuclear",2012,5.0664
"AL","Nuclear",2014,5.0664
"AL","Nuclear",2016,5.0664
"AL","Nuclear",2018,5.0664
"AL","Nuclear",2020,5.0664
"AL","Nuclear",2022,5.0664
"AL","Nuclear",2024,5.0664
"AL","Nuclear",2026,5.0664
"AL","Nuclear",2028,5.0664
"AL","Nuclear",2030,5.0664
"AL","Nuclear",2032,5.0664
"AL","Nuclear",2034,5.0664
"AL","Nuclear",2036,5.0664
"AL","Nuclear",2038,5.0664
"AL","Nuclear",2040,5.0664
"AL","Nuclear",2042,5.0664
"AL","Nuclear",2044,5.0664
"AL","Nuclear",2046,5.0664
"AL","Nuclear",2048,5.0664
"AL","Nuclear",2050,5.0664
"AL","Coal",2010,11.4685
"AL","Coal",2012,11.4685
"AL","Coal",2014,10.8025
"AL","Coal",2016,6.3025
"AL","Coal",2018,6.3025
"AL","Coal",2020,6.3025
"AL","Coal",2022,6.3025
"AL","Coal",2024,6.3025
"AL","Coal",2026,6.3025
"AL","Coal",2028,6.3025
"AL","Coal",2030,6.3025
"AL","Coal",2032,6.3025
"AL","Coal",2034,6.3025
"AL","Coal",2036,6.3025
"AL","Coal",2038,6.3025
"AL","Coal",2040,6.3025
"AL","Coal",2042,6.1415
"AL","Coal",2044,5.8915
"AL","Coal",2046,5.8915
"AL","Coal",2048,5.8915
"AL","Coal",2050,5.8915
"AL","Oil-Gas-Steam",2010,0.0266
"AL","Oil-Gas-Steam",2012,0.0266
"AL","Oil-Gas-Steam",2014,0.0266
"AL","Oil-Gas-Steam",2016,1.9486
"AL","Oil-Gas-Steam",2018,1.9486
"AL","Oil-Gas-Steam",2020,1.5436
"AL","Oil-Gas-Steam",2022,1.5436
"AL","Oil-Gas-Steam",2024,1.5436
"AL","Oil-Gas-Steam",2026,1.5436
"AL","Oil-Gas-Steam",2028,1.5436
"AL","Oil-Gas-Steam",2030,1.5436
"AL","Oil-Gas-Steam",2032,1.5436
"AL","Oil-Gas-Steam",2034,1.5436
"AL","Oil-Gas-Steam",2036,0.0266
"AL","Oil-Gas-Steam",2038,0.0266
"AL","Oil-Gas-Steam",2040,0.0266
"AL","Oil-Gas-Steam",2042,0.0266
"AL","Oil-Gas-Steam",2044,0.0266
"AL","Oil-Gas-Steam",2046,0.023
"AL","Oil-Gas-Steam",2048,0.0211
"AL","Oil-Gas-Steam",2050,0.0175
"AL","NG-CC",2010,9.265
"AL","NG-CC",2012,9.265
"AL","NG-CC",2014,9.265
"AL","NG-CC",2016,9.265
"AL","NG-CC",2018,9.265
"AL","NG-CC",2020,9.265
"AL","NG-CC",2022,9.265
"AL","NG-CC",2024,9.265
"AL","NG-CC",2026,9.265
"AL","NG-CC",2028,9.265
"AL","NG-CC",2030,9.265
"AL","NG-CC",2032,9.265
"AL","NG-CC",2034,9.265
"AL","NG-CC",2036,9.265
"AL","NG-CC",2038,9.3618232345922
"AL","NG-CC",2040,10.0975920241104
"AL","NG-CC",2042,12.637631495924
"AL","NG-CC",2044,14.4398174420402
"AL","NG-CC",2046,16.8247505317375
"AL","NG-CC",2048,18.2604563797081
"AL","NG-CC",2050,21.227707613103
"AL","NG-CT",2010,2.5414
"AL","NG-CT",2012,2.5414
"AL","NG-CT",2014,2.5414
"AL","NG-CT",2016,2.5414
"AL","NG-CT",2018,2.5414
"AL","NG-CT",2020,2.5254
